atheism,asian,employed,pro_dogs,chinese,available_yhat
0,0,0,0.0,0,0.0
0,0,0,0.0,1,0.0
0,0,0,1.0,0,0.0
0,0,0,1.0,1,0.0
0,0,1,0.0,0,0.0
0,0,1,0.0,1,0.0
0,0,1,1.0,0,0.0
0,0,1,1.0,1,0.0
0,1,0,0.0,0,0.0
0,1,0,0.0,1,0.0
0,1,0,1.0,0,0.0
0,1,0,1.0,1,0.0
0,1,1,0.0,0,0.0
0,1,1,0.0,1,0.0
0,1,1,1.0,0,0.0
0,1,1,1.0,1,0.0
1,0,0,0.0,0,0.0
1,0,0,0.0,1,0.0
1,0,0,1.0,0,0.0
1,0,1,0.0,0,0.0
1,0,1,0.0,1,0.0
1,0,1,1.0,0,0.0
1,0,1,1.0,1,0.0
1,1,0,0.0,0,0.0
1,1,0,0.0,1,0.0
1,1,0,1.0,0,0.0
1,1,0,1.0,1,0.0
1,1,1,0.0,0,0.0
1,1,1,0.0,1,0.0
1,1,1,1.0,0,0.0
1,1,1,1.0,1,0.0
