atheism,asian,employed,pro_dogs,chinese,single_yhat
0,0,0,0.0,0,0.9927360774818402
0,0,0,0.0,1,1.0
0,0,0,1.0,0,1.0
0,0,0,1.0,1,1.0
0,0,1,0.0,0,0.9967552726818919
0,0,1,0.0,1,1.0
0,0,1,1.0,0,1.0
0,0,1,1.0,1,1.0
0,1,0,0.0,0,1.0
0,1,0,0.0,1,1.0
0,1,0,1.0,0,1.0
0,1,0,1.0,1,1.0
0,1,1,0.0,0,1.0
0,1,1,0.0,1,1.0
0,1,1,1.0,0,1.0
0,1,1,1.0,1,1.0
1,0,0,0.0,0,0.9813953488372092
1,0,0,0.0,1,1.0
1,0,0,1.0,0,0.9859154929577465
1,0,1,0.0,0,0.9794472005669738
1,0,1,0.0,1,1.0
1,0,1,1.0,0,0.9982638888888888
1,0,1,1.0,1,1.0
1,1,0,0.0,0,1.0
1,1,0,0.0,1,1.0
1,1,0,1.0,0,1.0
1,1,0,1.0,1,1.0
1,1,1,0.0,0,0.9871794871794872
1,1,1,0.0,1,1.0
1,1,1,1.0,0,1.0
1,1,1,1.0,1,1.0
