atheism,asian,employed,pro_dogs,chinese,available_yhat
0,0,0,0.0,0,0.0
0,0,0,0.0,1,0.11764705882352941
0,0,0,1.0,0,0.0
0,0,0,1.0,1,0.0
0,0,1,0.0,0,0.0008735804317983277
0,0,1,0.0,1,0.0
0,0,1,1.0,0,0.0
0,0,1,1.0,1,0.0
0,1,0,0.0,0,0.0
0,1,0,0.0,1,0.0
0,1,0,1.0,0,0.0
0,1,0,1.0,1,0.0
0,1,1,0.0,0,0.0016501650165016502
0,1,1,0.0,1,0.0028169014084507044
0,1,1,1.0,0,0.0
0,1,1,1.0,1,0.0
1,0,0,0.0,0,0.023255813953488372
1,0,0,0.0,1,0.0
1,0,0,1.0,0,0.0
1,0,1,0.0,0,0.004252303330970942
1,0,1,0.0,1,0.0
1,0,1,1.0,0,0.0
1,0,1,1.0,1,0.0
1,1,0,0.0,0,0.0
1,1,0,0.0,1,0.0
1,1,0,1.0,0,0.0
1,1,0,1.0,1,0.0
1,1,1,0.0,0,0.01282051282051282
1,1,1,0.0,1,0.0
1,1,1,1.0,0,0.0
1,1,1,1.0,1,0.0
