atheism,asian,employed,pro_dogs,chinese,single_yhat
0,0,0,0.0,0,0.9709443099273608
0,0,0,0.0,1,0.8823529411764706
0,0,0,1.0,0,1.0
0,0,0,1.0,1,1.0
0,0,1,0.0,0,0.9858979158866842
0,0,1,0.0,1,0.9921875
0,0,1,1.0,0,1.0
0,0,1,1.0,1,1.0
0,1,0,0.0,0,0.9900990099009901
0,1,0,0.0,1,1.0
0,1,0,1.0,0,1.0
0,1,0,1.0,1,1.0
0,1,1,0.0,0,0.9966996699669967
0,1,1,0.0,1,0.9971830985915493
0,1,1,1.0,0,1.0
0,1,1,1.0,1,1.0
1,0,0,0.0,0,0.8930232558139535
1,0,0,0.0,1,1.0
1,0,0,1.0,0,0.9577464788732394
1,0,1,0.0,0,0.9369241672572644
1,0,1,0.0,1,1.0
1,0,1,1.0,0,0.9947916666666666
1,0,1,1.0,1,1.0
1,1,0,0.0,0,1.0
1,1,0,0.0,1,1.0
1,1,0,1.0,0,1.0
1,1,0,1.0,1,1.0
1,1,1,0.0,0,0.9487179487179487
1,1,1,0.0,1,1.0
1,1,1,1.0,0,1.0
1,1,1,1.0,1,0.9666666666666667
