atheism,asian,employed,pro_dogs,chinese,available_yhat
0,0,0,0.0,0,0.07506053268765134
0,0,0,0.0,1,0.0
0,0,0,1.0,0,0.060546875
0,0,0,1.0,1,0.0
0,0,1,0.0,0,0.05253962311244228
0,0,1,0.0,1,0.0625
0,0,1,1.0,0,0.032403240324032405
0,0,1,1.0,1,0.02702702702702703
0,1,0,0.0,0,0.0594059405940594
0,1,0,0.0,1,0.057692307692307696
0,1,0,1.0,0,0.10101010101010101
0,1,0,1.0,1,0.14705882352941177
0,1,1,0.0,0,0.06435643564356436
0,1,1,0.0,1,0.061971830985915494
0,1,1,1.0,0,0.06083086053412463
0,1,1,1.0,1,0.045317220543806644
1,0,0,0.0,0,0.10232558139534884
1,0,0,0.0,1,0.0
1,0,0,1.0,0,0.08450704225352113
1,0,1,0.0,0,0.08433734939759036
1,0,1,0.0,1,0.041666666666666664
1,0,1,1.0,0,0.050347222222222224
1,0,1,1.0,1,0.11764705882352941
1,1,0,0.0,0,0.25
1,1,0,0.0,1,0.2222222222222222
1,1,0,1.0,0,0.5
1,1,0,1.0,1,0.5
1,1,1,0.0,0,0.14102564102564102
1,1,1,0.0,1,0.07547169811320754
1,1,1,1.0,0,0.0196078431372549
1,1,1,1.0,1,0.13333333333333333
