education_undergrad_university,body_type_regular,pro_dogs,employed,available_yhat
0,0,0.0,0,0.09251101321585903
0,0,0.0,1,0.05267702936096719
0,0,1.0,0,0.020833333333333332
0,0,1.0,1,0.02857142857142857
0,1,0.0,0,0.07234042553191489
0,1,0.0,1,0.06513614522156967
0,1,1.0,0,0.05384615384615385
0,1,1.0,1,0.039016115351993216
1,0,0.0,0,0.07084468664850137
1,0,0.0,1,0.05279770444763271
1,0,1.0,0,0.05286343612334802
1,0,1.0,1,0.03555906756222837
1,1,0.0,0,0.08353808353808354
1,1,0.0,1,0.06579826319305278
1,1,1.0,0,0.14347826086956522
1,1,1.0,1,0.048368953880764905
