income_over_75,french,german,orientation_straight,new_york,single_yhat
0,0,0,0,0,0.1074561403508772
0,0,0,0,1,0.0
0,0,0,1,0,0.041849221936848466
0,0,0,1,1,0.0
0,0,1,0,0,0.07563025210084033
0,0,1,1,0,0.05704697986577181
0,1,0,0,0,0.1175
0,1,0,1,0,0.0593607305936073
0,1,1,0,0,0.09836065573770492
0,1,1,1,0,0.10121457489878542
1,0,0,0,0,0.08333333333333333
1,0,0,1,0,0.04806408544726302
1,0,1,0,0,0.1111111111111111
1,0,1,1,0,0.04878048780487805
1,1,0,0,0,0.2222222222222222
1,1,0,1,0,0.08333333333333333
1,1,0,1,1,0.0
1,1,1,0,0,0.2
1,1,1,1,0,0.1
