education_undergrad_university,body_type_regular,pro_dogs,employed,single_yhat
0,0,0.0,0,0.09691629955947137
0,0,0.0,1,0.05613126079447323
0,0,1.0,0,0.034722222222222224
0,0,1.0,1,0.03406593406593406
0,1,0.0,0,0.08085106382978724
0,1,0.0,1,0.06353443673251469
0,1,1.0,0,0.038461538461538464
0,1,1.0,1,0.03477523324851569
1,0,0.0,0,0.05994550408719346
1,0,0.0,1,0.052223816355810616
1,0,1.0,0,0.06607929515418502
1,0,1.0,1,0.039510075069142635
1,1,0.0,0,0.10810810810810811
1,1,0.0,1,0.07014028056112225
1,1,1.0,0,0.14347826086956522
1,1,1.0,1,0.049493813273340834
