atheism,asian,employed,pro_dogs,chinese,single_yhat
0,0,0,0.0,0,0.8462469733656174
0,0,0,0.0,1,0.8235294117647058
0,0,0,1.0,0,0.9140625
0,0,0,1.0,1,0.8888888888888888
0,0,1,0.0,0,0.8929239985024335
0,0,1,0.0,1,0.890625
0,0,1,1.0,0,0.9407740774077408
0,0,1,1.0,1,0.9054054054054054
0,1,0,0.0,0,0.8514851485148515
0,1,0,0.0,1,0.75
0,1,0,1.0,0,0.8181818181818182
0,1,0,1.0,1,0.9117647058823529
0,1,1,0.0,0,0.8795379537953796
0,1,1,0.0,1,0.8901408450704226
0,1,1,1.0,0,0.9332344213649851
0,1,1,1.0,1,0.9365558912386707
1,0,0,0.0,0,0.8465116279069768
1,0,0,0.0,1,0.75
1,0,0,1.0,0,0.9014084507042254
1,0,1,0.0,0,0.8377037562012757
1,0,1,0.0,1,0.9166666666666666
1,0,1,1.0,0,0.8784722222222222
1,0,1,1.0,1,0.7058823529411765
1,1,0,0.0,0,0.75
1,1,0,0.0,1,0.7777777777777778
1,1,0,1.0,0,1.0
1,1,0,1.0,1,0.75
1,1,1,0.0,0,0.8205128205128205
1,1,1,0.0,1,0.8867924528301887
1,1,1,1.0,0,0.9215686274509803
1,1,1,1.0,1,0.8333333333333334
