income_over_75,french,german,orientation_straight,new_york,single_yhat
0,0,0,0,0,0.8100877192982456
0,0,0,0,1,1.0
0,0,0,1,0,0.9249131288714307
0,0,0,1,1,1.0
0,0,1,0,0,0.7142857142857143
0,0,1,1,0,0.8942953020134228
0,1,0,0,0,0.7725
0,1,0,1,0,0.8985286656519533
0,1,1,0,0,0.7049180327868853
0,1,1,1,0,0.8663967611336032
1,0,0,0,0,0.85
1,0,0,1,0,0.8931909212283045
1,0,1,0,0,0.7777777777777778
1,0,1,1,0,0.8292682926829268
1,1,0,0,0,0.7777777777777778
1,1,0,1,0,0.8416666666666667
1,1,0,1,1,1.0
1,1,1,0,0,0.6
1,1,1,1,0,0.8333333333333334
