education_undergrad_university,body_type_regular,pro_dogs,employed,single_yhat
0,0,0.0,0,0.8237885462555066
0,0,0.0,1,0.8933506044905009
0,0,1.0,0,0.9097222222222222
0,0,1.0,1,0.9368131868131868
0,1,0.0,0,0.8638297872340426
0,1,0.0,1,0.8782701548318206
0,1,1.0,0,0.8923076923076924
0,1,1.0,1,0.9287531806615776
1,0,0.0,0,0.8365122615803815
1,0,0.0,1,0.891535150645624
1,0,1.0,0,0.9162995594713657
1,0,1.0,1,0.9367838798893718
1,1,0.0,0,0.8402948402948403
1,1,0.0,1,0.8724114896459586
1,1,1.0,0,0.8782608695652174
1,1,1.0,1,0.9285714285714286
