atheism,asian,employed,pro_dogs,chinese,single_yhat
0,0,0,0.0,0,0.9951573849878934
0,0,0,0.0,1,1.0
0,0,0,1.0,0,1.0
0,0,0,1.0,1,1.0
0,0,1,0.0,0,0.9966304754773493
0,0,1,0.0,1,1.0
0,0,1,1.0,0,1.0
0,0,1,1.0,1,1.0
0,1,0,0.0,0,0.9900990099009901
0,1,0,0.0,1,1.0
0,1,0,1.0,0,1.0
0,1,0,1.0,1,1.0
0,1,1,0.0,0,0.9983498349834984
0,1,1,0.0,1,0.9971830985915493
0,1,1,1.0,0,1.0
0,1,1,1.0,1,1.0
1,0,0,0.0,0,0.9953488372093023
1,0,0,0.0,1,1.0
1,0,0,1.0,0,0.9859154929577465
1,0,1,0.0,0,0.9744861800141743
1,0,1,0.0,1,1.0
1,0,1,1.0,0,0.9982638888888888
1,0,1,1.0,1,1.0
1,1,0,0.0,0,1.0
1,1,0,0.0,1,1.0
1,1,0,1.0,0,1.0
1,1,0,1.0,1,1.0
1,1,1,0.0,0,0.9615384615384616
1,1,1,0.0,1,1.0
1,1,1,1.0,0,1.0
1,1,1,1.0,1,1.0
