atheism,asian,employed,pro_dogs,chinese,available_yhat
0,0,0,0.0,0,0.0
0,0,0,0.0,1,0.0
0,0,0,1.0,0,0.0
0,0,0,1.0,1,0.0
0,0,1,0.0,0,0.000998377636340946
0,0,1,0.0,1,0.0
0,0,1,1.0,0,0.00054005400540054
0,0,1,1.0,1,0.0
0,1,0,0.0,0,0.0
0,1,0,0.0,1,0.0
0,1,0,1.0,0,0.0
0,1,0,1.0,1,0.0
0,1,1,0.0,0,0.0
0,1,1,0.0,1,0.0028169014084507044
0,1,1,1.0,0,0.001483679525222552
0,1,1,1.0,1,0.0
1,0,0,0.0,0,0.0
1,0,0,0.0,1,0.0
1,0,0,1.0,0,0.0
1,0,1,0.0,0,0.002126151665485471
1,0,1,0.0,1,0.0
1,0,1,1.0,0,0.0
1,0,1,1.0,1,0.0
1,1,0,0.0,0,0.0
1,1,0,0.0,1,0.0
1,1,0,1.0,0,0.0
1,1,0,1.0,1,0.0
1,1,1,0.0,0,0.0
1,1,1,0.0,1,0.0
1,1,1,1.0,0,0.0
1,1,1,1.0,1,0.0
