atheism,asian,employed,pro_dogs,chinese,single_yhat
0,0,0,0.0,0,0.9987893462469734
0,0,0,0.0,1,1.0
0,0,0,1.0,0,1.0
0,0,0,1.0,1,1.0
0,0,1,0.0,0,0.9928865593410707
0,0,1,0.0,1,0.9921875
0,0,1,1.0,0,0.9994599459945994
0,0,1,1.0,1,1.0
0,1,0,0.0,0,1.0
0,1,0,0.0,1,1.0
0,1,0,1.0,0,0.98989898989899
0,1,0,1.0,1,1.0
0,1,1,0.0,0,0.9966996699669967
0,1,1,0.0,1,0.9971830985915493
0,1,1,1.0,0,0.9985163204747775
0,1,1,1.0,1,1.0
1,0,0,0.0,0,1.0
1,0,0,0.0,1,1.0
1,0,0,1.0,0,1.0
1,0,1,0.0,0,0.9865343727852587
1,0,1,0.0,1,1.0
1,0,1,1.0,0,0.9982638888888888
1,0,1,1.0,1,1.0
1,1,0,0.0,0,1.0
1,1,0,0.0,1,1.0
1,1,0,1.0,0,1.0
1,1,0,1.0,1,1.0
1,1,1,0.0,0,1.0
1,1,1,0.0,1,0.9811320754716981
1,1,1,1.0,0,1.0
1,1,1,1.0,1,1.0
